,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
187,187,137432,Santa Margherita Merlot,Santa Margherita,Italy,Veneto,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,29000,2016,750,45.76817166673115,12.902619116141556,,,,,,,
264,264,137591,"Citra, Merlot",Citra,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2017,750,42.353677666210025,14.386794179003427,10.0,,,,,,
371,371,137738,"Geografico, Pulleraia",Geografico,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,108000,2012,750,43.461669783333335,11.43091450256181,,,,,,,
481,481,137960,"Castello di Ama, L'Apparita",Castello di Ama,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,500000,2014,750,43.4336534,11.4003142,,,,,,,
630,630,138381,Masseto,Ornellaia,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET2,ACIDITY4,BODY5,TANNIN5,1900000,2016,750,43.2340065,10.6179334,,,,,,,
763,763,138600,Cesari Mitico Merlot,Cesari,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2001,750,45.3126594,10.0084935,,,,,,,
1189,1189,139311,"Avignonesi, 50 & 50",Avignonesi,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2011,750,43.09523950042017,11.787120421848739,,,,,,,
1190,1190,139312,"Avignonesi, Desiderio",Avignonesi,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,257000,2016,750,43.09523950042017,11.787120421848739,,,,,,,
1290,1290,139447,"Folonari, Bolgheri Campo Al Mare",Tenute Ambrogio e Giovanni Folonari,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750,43.628413362016374,11.285756423982699,,,,,,,
1320,1320,139495,"Maculan, Brentino",Maculan,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2006,750,45.701474947826085,11.570922906521739,,,,,,,
