name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.05264453636364, 10.703719358013432",2010-03-15,14.2,2.9,7.6,14.2,0.5,7,3.4,75.5,0,0,0,,,,,23.4,135,1018.6,27.4,11.3,170.8,14.8,6,,2010-03-15T06:29:40,2010-03-15T18:23:17,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-16,12.6,2,7.6,12.6,-1.1,7.3,3.5,75.9,0,0,0,,,,,11.4,180.7,1022.5,20,13.3,180.2,15.6,7,,2010-03-16T06:27:55,2010-03-16T18:24:29,0,Clear,Partly cloudy throughout the day.,clear-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-17,14.9,1.1,7.7,14.9,-1.5,7.2,2.2,70.4,0,0,0,,,,,15.2,128.1,1030.8,17.3,22.3,213.1,18.5,8,,2010-03-17T06:26:09,2010-03-17T18:25:40,0.01,Clear,Clear conditions throughout the day.,clear-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-18,13.6,3.1,8.5,13.6,0.2,7.2,5,79,0,0,0,,,,,17.2,127.5,1032.6,38.7,15.3,217.9,18.8,7,,2010-03-18T06:24:23,2010-03-18T18:26:51,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-19,12.2,4.6,9.5,12.2,1.9,8.6,6.2,79.8,0,0,0,,,,,22.5,120.7,1030.7,56.3,13.8,176.6,15.3,7,,2010-03-19T06:22:37,2010-03-19T18:28:03,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-20,12.8,9.9,11.4,12.8,9.2,11.4,8.3,81.2,0,0,0,,,,,24.3,140,1027.3,71.7,10,152.8,13.1,5,,2010-03-20T06:20:51,2010-03-20T18:29:14,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-21,14,11.1,12.6,14,11.1,12.6,9.8,83.1,0,0,0,,,,51.8,27.5,162.5,1025.3,67.5,8.7,131.2,11.3,6,,2010-03-21T06:19:05,2010-03-21T18:30:24,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-22,16.4,10.1,13.1,16.4,10.1,13.1,7.7,71.3,0.63,100,8.33,rain,,,,19.7,108.4,1021.4,82.1,16.8,84.5,7.4,3,,2010-03-22T06:17:18,2010-03-22T18:31:35,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-23,16.5,8.7,12.3,16.5,7,12,8.6,78.4,0,0,0,,,,,13.7,132.3,1018,33.8,18.1,146.5,12.7,5,,2010-03-23T06:15:32,2010-03-23T18:32:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,remote,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-24,16.6,8.2,11.9,16.6,7,11.5,7.2,73.8,0,0,0,,,,,11.4,139.2,1016.7,38.4,14.7,227.3,19.6,8,,2010-03-24T06:13:45,2010-03-24T18:33:56,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-25,15.4,6.3,11.2,15.4,4.9,10.7,7.6,78.8,0,0,0,,,,,20.8,115.7,1018.4,57,9.9,228.7,19.9,7,,2010-03-25T06:11:59,2010-03-25T18:35:07,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-26,14.6,11.7,13,14.6,11.7,13,9.5,79.4,0,0,0,,,,,26.6,147.1,1017.6,64.3,7.1,224.4,19.4,7,,2010-03-26T06:10:12,2010-03-26T18:36:17,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-27,15.3,7,12.1,15.3,5,11.9,6.7,70.7,0,0,0,,,,,23.2,194.5,1013.6,26.9,11.4,241.6,20.9,8,,2010-03-27T06:08:26,2010-03-27T18:37:27,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-28,15.6,8.1,12.8,15.6,7.7,12.8,7.6,72.2,0,0,0,,,,,20.5,185.7,1015.3,28.5,18.7,243.3,20.4,8,,2010-03-28T07:06:40,2010-03-28T19:38:37,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,remote,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-29,14.6,7.5,10.9,14.6,6,10.5,7.6,80,0,0,0,,,,,22.7,112.8,1015.9,53.8,18.4,230.3,19.8,7,,2010-03-29T07:04:54,2010-03-29T19:39:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-30,15.3,11.1,13.1,15.3,11.1,13.1,9.8,80.4,0.78,100,4.17,rain,,,57.2,32.9,159,1007.4,54.8,10,186.1,16.1,6,,2010-03-30T07:03:08,2010-03-30T19:40:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-03-31,16.3,7.7,12,16.3,5.2,11.4,2.3,55.4,0,0,0,,,,61.2,45.3,210,1008.5,21.7,21.1,260.6,22.5,8,,2010-03-31T07:01:22,2010-03-31T19:42:07,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-04-01,14.5,5.7,10.6,14.5,4.1,9.8,6.7,76.8,0,0,0,,,,53.6,24.6,160,1013.6,39,19.9,253.9,21.9,8,,2010-04-01T06:59:37,2010-04-01T19:43:17,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-04-02,14.4,4.8,10.3,14.4,1.7,9.5,3.2,64,0,0,0,,,,,18.8,163.9,1017.2,29.7,23.1,253.8,22,8,,2010-04-02T06:57:52,2010-04-02T19:44:27,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.05264453636364, 10.703719358013432",2010-04-03,14.1,5.5,10.3,14.1,4.7,9.8,5.2,72.1,0,0,0,,,,,26.1,138.3,1020.6,33.5,21.1,225.8,19.4,8,,2010-04-03T06:56:07,2010-04-03T19:45:36,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
